,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800e08,1.0,1.0
0x18800e09,1.0,1.0
0x18800e0a,1.0,1.0
0x18800e0b,1.0,1.0
0x18800f00,1.0,1.0
0x18800f01,1.0,1.0
0x18800f02,1.0,1.0
0x18800f04,1.0,1.0
0x18800f05,1.0,1.0
0x18800f06,1.0,1.0
0x18800f08,1.0,1.0
0x18800f09,1.0,1.0
0x18800f0a,1.0,1.0
0x18801000,1.0,1.0
0x18801001,1.0,1.0
0x18801002,1.0,1.0
0x18801003,1.0,1.0
0x18801004,1.0,1.0
0x18801005,1.0,1.0
0x18801006,1.0,1.0
0x18801007,1.0,1.0
0x18801009,1.0,1.0
0x1880100a,1.0,1.0
0x1880100b,1.0,1.0
0x18801100,1.0,1.0
0x18801101,1.0,1.0
0x18801102,1.0,1.0
0x18801103,1.0,1.0
0x18801104,5.0,5.0
0x18801105,4.0,4.0
0x18801106,6.0,6.0
0x18801107,6.0,6.0
0x18801108,6.0,6.0
0x18801109,6.0,6.0
0x1880110a,5.0,5.0
0x1880110b,6.0,6.0
0x18801201,6.0,6.0
0x18801202,6.0,6.0
0x18801203,6.0,6.0
0x18801204,6.0,6.0
0x18801205,6.0,6.0
0x18801206,6.0,6.0
0x18801207,6.0,6.0
0x18801208,7.0,7.0
0x18801209,7.0,7.0
0x1880120a,6.0,6.0
0x1880120b,7.0,7.0
0x18801300,6.0,6.0
0x18801301,7.0,7.0
0x18801302,7.0,7.0
0x18801303,7.0,7.0
0x18801304,7.0,7.0
0x18801305,6.0,6.0
0x18801306,7.0,7.0
0x18801307,1.0,1.0
0x18801308,7.0,7.0
0x18801309,7.0,7.0
0x1880130a,7.0,7.0
0x1880130b,7.0,7.0
0x18880e08,1.0,1.0
0x18880e09,1.0,1.0
0x18880e0a,1.0,1.0
0x18880e0b,1.0,1.0
0x18880f00,1.0,1.0
0x18880f01,1.0,1.0
0x18880f02,1.0,1.0
0x18880f04,1.0,1.0
0x18880f05,1.0,1.0
0x18880f06,1.0,1.0
0x18880f07,1.0,1.0
0x18880f08,1.0,1.0
0x18880f09,1.0,1.0
0x18880f0a,1.0,1.0
0x18880f0b,1.0,1.0
0x18881000,1.0,1.0
0x18881001,1.0,1.0
0x18881002,1.0,1.0
0x18881003,1.0,1.0
0x18881004,1.0,1.0
0x18881005,1.0,1.0
0x18881006,1.0,1.0
0x18881007,1.0,1.0
0x18881008,1.0,1.0
0x18881009,1.0,1.0
0x1888100a,1.0,1.0
0x1888100b,1.0,1.0
0x18881100,1.0,1.0
0x18881101,1.0,1.0
0x18881102,1.0,1.0
0x18881103,1.0,1.0
0x18881104,6.0,6.0
0x18881105,5.0,5.0
0x18881106,6.0,6.0
0x18881107,5.0,5.0
0x18881108,6.0,6.0
0x18881109,6.0,6.0
0x1888110a,6.0,6.0
0x1888110b,6.0,6.0
0x18881200,6.0,6.0
0x18881201,6.0,6.0
0x18881202,6.0,6.0
0x18881203,6.0,6.0
0x18881204,6.0,6.0
0x18881205,6.0,6.0
0x18881206,6.0,6.0
0x18881207,6.0,6.0
0x18881208,7.0,7.0
0x18881209,7.0,7.0
0x1888120a,7.0,7.0
0x1888120b,7.0,7.0
0x18881300,7.0,7.0
0x18881301,6.0,6.0
0x18881302,7.0,7.0
0x18881303,7.0,7.0
0x18881304,7.0,7.0
0x18881305,7.0,7.0
0x18881306,7.0,7.0
0x18881307,7.0,7.0
0x18881308,7.0,7.0
0x18881309,6.0,6.0
0x1888130a,7.0,7.0
0x1888130b,7.0,7.0
